Feature,Importance,Relationship,Sl.No,Feature,Importance,Relationship,Descriptions,Sl.No,Feature,Data Visualization,
L2_AVG_DIFF_PRESSURE_TUYERE,0.004656063,Direct,43,L2_AVG_DIFF_PRESSURE_TUYERE,0.004656063,Direct,,,,,
L2_AVG_HEARTH_INNER_TEMP_K,0.004624561,Direct,44,L2_AVG_HEARTH_INNER_TEMP_K,0.004624561,Direct,,,,,
PELLET_PCT,0.004566466,Direct,45,PELLET_PCT,0.004566466,Direct,,,,,
IN_SL_AL2O3_PER,0.004563754,Direct,46,IN_SL_AL2O3_PER,0.004563754,Direct,,,,,
L2_AVG_HEARTH_INNER_TEMP_B,0.00455374,Direct,47,L2_AVG_HEARTH_INNER_TEMP_B,0.00455374,Direct,,,,,
L2_CLEAN_GAS_ANALYSIS_ETACO,0.004542841,Direct,48,L2_CLEAN_GAS_ANALYSIS_ETACO,0.004542841,Direct,,,,,
MGO_IN_CDI_KG_PER_THM_1,0.00452281,Direct,49,MGO_IN_CDI_KG_PER_THM_1,0.00452281,Direct,,,,,
S_COKE_RATE_KGTHM_2,0.004522683,Direct,,,,,,,,,
B3_IN_CDI,0.004488756,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_S3,0.00448245,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_S2,0.004446566,Direct,,,,,,,,,
PELLET_KGTHM_2,0.004417491,Direct,,,,,,,,,
O2_ENRICHMENT_FLOW_RATE_1,0.004400571,Direct,,,,,,,,,
BLAST_SPEED_1,0.004388961,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_D_2,0.00438598,Direct,,,,,,,,,
IN_SL_S_PER_2,0.004383649,Direct,,,,,,,,,
L2_TOP_GAS_PRESSURE,0.00437989,Direct,,,,,,,,,
CAO_IN_CDI_KG_PER_THM_2,0.004375382,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_E_2,0.004357194,Direct,,,,,,,,,
ASH_IN_CDI_KG_PER_THM_2,0.004344468,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_B_1,0.00434165,Direct,,,,,,,,,
SILICA_IN_CDI_KG_PER_THM_2,0.004341015,Direct,,,,,,,,,
CDI_KG_PER_THM_2,0.004337779,Direct,,,,,,,,,
SLAG_VOL_IN_CDI_KGTHM_2,0.004314338,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_B2,0.004292807,Direct,,,,,,,,,
AL2O3_IN_CDI_KG_PER_THM_2,0.004278719,Direct,,,,,,,,,
PELLET_PCT_2,0.004259975,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_S1_2,0.004255734,Direct,,,,,,,,,
IN_SL_S_PER_1,0.004215194,Direct,,,,,,,,,
CDI_KG_PER_THM_1,0.004167921,Direct,,,,,,,,,
ASH_IN_CDI_KG_PER_THM_1,0.004163235,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_S2_1,0.004162898,Direct,,,,,,,,,
SILICA_IN_CDI_KG_PER_THM_1,0.0041623,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_S2_1,0.004158297,Direct,,,,,,,,,
IN_HM_SI_PER,0.004156715,Direct,,,,,,,,,
SLAG_VOL_IN_CDI_KGTHM_1,0.004155792,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_K_2,0.004147234,Direct,,,,,,,,,
AL2O3_IN_CDI_KG_PER_THM_1,0.004141054,Direct,,,,,,,,,
HOT_BLAST_FLOW_RATE,0.004138781,Direct,,,,,,,,,
CAO_IN_CDI_KG_PER_THM_1,0.004122988,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_S2_2,0.004105411,Direct,,,,,,,,,
HOT_BLAST_FLOW_RATE_1,0.004104761,Direct,,,,,,,,,
L2_CLEAN_GAS_ANALYSIS_ETACO_2,0.00409656,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_S2,0.004088975,Direct,,,,,,,,,
BOSH_B2_2,0.004069235,Direct,,,,,,,,,
B2_2,0.004045553,Direct,,,,,,,,,
RAFT,0.004037235,Direct,,,,,,,,,
L2_K_FACTOR,0.004012965,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_S3_2,0.00400533,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_P_2,0.003986858,Direct,,,,,,,,,
MGO_IN_CDI_KG_PER_THM_2,0.003969059,Direct,,,,,,,,,
COKE_RATE_KGTHM,0.003968562,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_S3,0.003930116,Direct,,,,,,,,,
ASH_IN_CDI_KG_PER_THM,0.003925712,Direct,,,,,,,,,
SILICA_IN_CDI_KG_PER_THM,0.003925175,Direct,,,,,,,,,
CDI_KG_PER_THM,0.003919146,Direct,,,,,,,,,
CAO_IN_CDI_KG_PER_THM,0.003916418,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_S1,0.00391598,Direct,,,,,,,,,
SLAG_VOL_IN_CDI_KGTHM,0.003908623,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_C_2,0.003905807,Direct,,,,,,,,,
AL2O3_IN_CDI_KG_PER_THM,0.003894129,Direct,,,,,,,,,
IN_SL_MNO_PER_2,0.003879936,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_B2_2,0.003869697,Direct,,,,,,,,,
IN_SL_AL2O3_PER_2,0.003844588,Direct,,,,,,,,,
IN_HM_S_PER_2,0.003836355,Direct,,,,,,,,,
BOSH_B3_2,0.00382792,Direct,,,,,,,,,
HMPROD_RATE,0.003821312,Direct,,,,,,,,,
HMPROD_RATE_2,0.003800919,Direct,,,,,,,,,
L2_BUSTLE_PIPE_PRESSURE,0.003766395,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_P_1,0.003730045,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_L_1,0.003727439,Direct,,,,,,,,,
B3_2,0.003702312,Direct,,,,,,,,,
MNO_IN_CDI_KG_PER_THM_2,0.00369146,Direct,,,,,,,,,
IN_HM_MN_PER_1,0.003649612,Direct,,,,,,,,,
STEAM_FLOW_RATE_IN_BLAST,0.003646707,Direct,,,,,,,,,
IN_HM_P_PER,0.00364624,Direct,,,,,,,,,
MGO_IN_CDI_KG_PER_THM,0.003637574,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_F_1,0.0036173,Direct,,,,,,,,,
RAFT_1,0.003603062,Direct,,,,,,,,,
PELLET_KGTHM_1,0.003560847,Direct,,,,,,,,,
L2_CLEAN_GAS_ANALYSIS_N2,0.003539586,Direct,,,,,,,,,
IN_SL_AL2O3_PER_1,0.003517063,Direct,,,,,,,,,
ASH_KGTHM_1,0.003495733,Direct,,,,,,,,,
IN_HM_MN_PER,0.003486833,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_S3_2,0.00348239,Direct,,,,,,,,,
L2_AVG_DIFF_PRESSURE_TUYERE_2,0.003447902,Direct,,,,,,,,,
IN_SL_MGO_PER_1,0.003445532,Direct,,,,,,,,,
COKE_RATE_KGTHM_2,0.003371951,Direct,,,,,,,,,
B4_2,0.00335338,Direct,,,,,,,,,
L2_AVG_SHAFT_PRESSURE_S3_1,0.003304725,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_F,0.003284448,Direct,,,,,,,,,
IN_HM_MN_PER_2,0.003256371,Direct,,,,,,,,,
B2_1,0.00325046,Direct,,,,,,,,,
L2_AVG_STAVE_TEMP_B1_1,0.003242096,Direct,,,,,,,,,
IN_SL_BASICITY_1,0.003217044,Direct,,,,,,,,,
PELLET_PCT_1,0.003178962,Direct,,,,,,,,,
IN_SL_MNO_PER,0.003167364,Direct,,,,,,,,,
IN_SL_CAO_PER_1,0.003163721,Direct,,,,,,,,,
B4,0.003141331,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_C,0.003138673,Direct,,,,,,,,,
HMPROD_RATE_1,0.003117259,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_K_1,0.003115257,Direct,,,,,,,,,
IN_SL_SIO2_PER_2,0.003111507,Direct,,,,,,,,,
NUT_COKE_KGTHM,0.003055334,Direct,,,,,,,,,
BOSH_B2,0.003030321,Direct,,,,,,,,,
