Feature,Importance,Relationship,Sl.No,Feature,Importance,Relationship,Descriptions,Sl.No,Feature,Data Visualization,
L2_AVG_TGT_2,0.000503451,Direct,,,,,,,,,
EXTRA_COKE_2,0.00047874,Direct,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_G,0.00046473,Direct,,,,,,,,,
QZ_ADD_KG_2,0.000448527,Direct,,,,,,,,,
QZ_ADD_KGTHM_2,0.000430673,Direct,,,,,,,,,
S_SINTER_KG_1,0.000415053,Indirect,,,,,,,,,
EXTRA_COKE_RATE_KGTHM,0.000381975,Direct,,,,,,,,,
QZ_ADD_KGTHM,0.000380077,Indirect,,,,,,,,,
IN_SL_P_PER,0.000375734,Indirect,,,,,,,,,
MNOXIDE_KG_1,0.000373686,Direct,,,,,,,,,
EXTRA_COKE,0.000371716,Indirect,,,,,,,,,
QZ_ADD_KG,0.000363032,Indirect,,,,,,,,,
SL_VOL_KG_THM_1,0.000357413,Direct,,,,,,,,,
BOSH_SLAG_VOL_KGTHM_1,0.000354256,Direct,,,,,,,,,
SILICA_KG_1,0.000354206,Direct,,,,,,,,,
EXTRA_COKE_1,0.000345395,Indirect,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_H_2,0.000337276,Indirect,,,,,,,,,
UPTAKE_AVG_2,0.000323832,Direct,,,,,,,,,
EXTRA_COKE_RATE_KGTHM_1,0.000207211,Direct,,,,,,,,,
IN_SL_FEO_PER_2,0.000201547,Indirect,,,,,,,,,
L2_AVG_HEARTH_INNER_TEMP_G_2,0.000182741,Indirect,,,,,,,,,
QZ_ADD_KG_1,0.000127041,Direct,,,,,,,,,
QZ_ADD_KGTHM_1,0.000121418,Direct,,,,,,,,,
